invoice_date,invoice_no,customer_id,gender,age,shopping_mall,category,quantity,price,payment_method,Sales amount
19-12-2022,I212665,C263070,Female,42,Metrocity,Clothing,1,300.08,Credit Card,300.08
20-11-2021,I212668,C232663,Male,66,Mall of Istanbul,Shoes,3,1800.51,Cash,5401.53
12-01-2022,I212671,C254822,Female,56,Istinye Park,Clothing,4,1200.32,Debit Card,4801.28
02-02-2021,I212672,C427296,Female,44,Metrocity,Food & Beverage,4,20.92,Credit Card,83.68
18-11-2022,I212681,C285223,Male,44,Metrocity,Clothing,5,1500.4,Credit Card,7502.0
29-12-2022,I212682,C330604,Female,37,Metropol AVM,Shoes,4,2400.68,Cash,9602.72
26-10-2022,I212684,C202850,Female,63,Emaar Square Mall,Clothing,5,1500.4,Cash,7502.0
25-05-2022,I212685,C278998,Female,51,Metropol AVM,Clothing,5,1500.4,Credit Card,7502.0
27-02-2021,I212695,C411921,Male,39,Istinye Park,Souvenir,3,35.19,Credit Card,105.57
22-08-2022,I212698,C207637,Female,60,Kanyon,Technology,2,2100.0,Credit Card,4200.0
20-10-2021,I212702,C883578,Male,32,Metrocity,Books,3,45.45,Debit Card,136.35000000000002
23-02-2021,I212704,C321396,Female,27,Cevahir AVM,Clothing,1,300.08,Cash,300.08
17-02-2021,I212705,C118191,Female,44,Forum Istanbul,Shoes,5,3000.85,Credit Card,15004.25
06-03-2021,I212706,C295728,Male,60,Mall of Istanbul,Cosmetics,2,81.32,Credit Card,162.64
04-07-2022,I212707,C237751,Female,55,Metrocity,Cosmetics,1,40.66,Debit Card,40.66
27-01-2021,I212709,C122407,Female,57,Metrocity,Cosmetics,5,203.3,Debit Card,1016.5
12-07-2021,I212712,C200767,Female,63,Cevahir AVM,Books,3,45.45,Cash,136.35000000000002
20-01-2023,I212720,C255859,Female,47,Metropol AVM,Clothing,1,300.08,Credit Card,300.08
28-08-2021,I212721,C251668,Male,36,Metropol AVM,Clothing,1,300.08,Cash,300.08
16-04-2022,I212733,C579846,Female,19,Metrocity,Clothing,4,1200.32,Credit Card,4801.28
14-09-2021,I212736,C427479,Female,64,Metrocity,Food & Beverage,2,10.46,Credit Card,20.92
19-09-2021,I212739,C330860,Male,57,Istinye Park,Souvenir,5,58.65,Cash,293.25
28-08-2021,I212744,C297175,Female,54,Kanyon,Shoes,3,1800.51,Cash,5401.53
14-11-2022,I212745,C669973,Female,61,Forum Istanbul,Clothing,4,1200.32,Cash,4801.28
31-12-2022,I212746,C166428,Female,61,Mall of Istanbul,Food & Beverage,2,10.46,Debit Card,20.92
24-01-2022,I212747,C408930,Male,63,Metropol AVM,Clothing,1,300.08,Debit Card,300.08
19-02-2023,I212750,C244853,Male,55,Metrocity,Clothing,4,1200.32,Credit Card,4801.28
24-02-2023,I212761,C128585,Female,68,Metropol AVM,Clothing,2,600.16,Cash,1200.32
07-01-2021,I212762,C995224,Female,30,Kanyon,Shoes,2,1200.34,Cash,2400.68
26-04-2022,I212763,C218352,Female,53,Kanyon,Clothing,2,600.16,Cash,1200.32
26-03-2022,I212767,C114295,Male,24,Mall of Istanbul,Clothing,4,1200.32,Cash,4801.28
21-04-2021,I212775,C208025,Female,35,Emaar Square Mall,Cosmetics,1,40.66,Cash,40.66
06-01-2023,I212776,C254563,Female,50,Viaport Outlet,Shoes,4,2400.68,Credit Card,9602.72
23-04-2022,I212777,C213292,Female,41,Istinye Park,Food & Beverage,1,5.23,Credit Card,5.23
02-03-2021,I212778,C150791,Female,64,Mall of Istanbul,Clothing,5,1500.4,Cash,7502.0
04-08-2021,I212780,C131771,Female,56,Kanyon,Shoes,1,600.17,Cash,600.17
19-07-2021,I212782,C614110,Female,20,Zorlu Center,Clothing,5,1500.4,Cash,7502.0
21-07-2021,I212790,C781393,Female,62,Emaar Square Mall,Shoes,2,1200.34,Cash,2400.68
28-01-2021,I212792,C305974,Male,22,Forum Istanbul,Toys,3,107.52,Cash,322.56
22-11-2022,I212793,C277603,Male,36,Mall of Istanbul,Toys,1,35.84,Debit Card,35.84
23-08-2021,I212799,C581983,Female,21,Mall of Istanbul,Cosmetics,4,162.64,Cash,650.56
19-11-2022,I212800,C277931,Male,54,Mall of Istanbul,Clothing,4,1200.32,Debit Card,4801.28
06-07-2022,I212808,C361491,Female,44,Metrocity,Souvenir,1,11.73,Credit Card,11.73
26-12-2022,I212809,C635142,Male,55,Kanyon,Shoes,4,2400.68,Debit Card,9602.72
07-01-2023,I212813,C219794,Female,61,Kanyon,Technology,3,3150.0,Cash,9450.0
15-02-2023,I212817,C143479,Female,27,Zorlu Center,Cosmetics,4,162.64,Cash,650.56
26-06-2022,I212821,C269548,Female,67,Mall of Istanbul,Shoes,3,1800.51,Credit Card,5401.53
08-02-2022,I212822,C205578,Male,38,Kanyon,Cosmetics,5,203.3,Credit Card,1016.5
08-08-2022,I212825,C140506,Male,25,Metrocity,Clothing,1,300.08,Credit Card,300.08
14-01-2022,I212827,C496293,Female,33,Kanyon,Clothing,1,300.08,Cash,300.08
24-08-2021,I212828,C149150,Female,29,Istinye Park,Books,2,30.3,Credit Card,60.6
29-09-2022,I212832,C252276,Male,69,Kanyon,Food & Beverage,2,10.46,Cash,20.92
29-04-2021,I212833,C331382,Male,64,Metrocity,Cosmetics,2,81.32,Cash,162.64
11-09-2021,I212843,C312694,Female,54,Istinye Park,Food & Beverage,3,15.69,Cash,47.07
01-12-2021,I212846,C134480,Male,57,Kanyon,Clothing,4,1200.32,Credit Card,4801.28
19-08-2022,I212849,C135917,Female,46,Zorlu Center,Clothing,4,1200.32,Cash,4801.28
29-05-2021,I212850,C279254,Male,22,Emaar Square Mall,Clothing,3,900.24,Cash,2700.7200000000003
23-01-2021,I212852,C623934,Female,54,Viaport Outlet,Clothing,3,900.24,Debit Card,2700.7200000000003
14-01-2022,I212853,C318128,Male,65,Metrocity,Clothing,4,1200.32,Debit Card,4801.28
17-03-2022,I212855,C462973,Male,22,Zorlu Center,Clothing,3,900.24,Credit Card,2700.7200000000003
28-03-2022,I212860,C232445,Female,59,Kanyon,Toys,4,143.36,Debit Card,573.44
07-02-2022,I212865,C258979,Female,26,Mall of Istanbul,Books,1,15.15,Credit Card,15.15
15-12-2021,I212867,C282606,Male,37,Viaport Outlet,Toys,5,179.2,Credit Card,896.0
08-04-2022,I212868,C211272,Female,23,Istinye Park,Food & Beverage,3,15.69,Cash,47.07
10-09-2022,I212869,C626322,Female,25,Metrocity,Clothing,1,300.08,Debit Card,300.08
15-11-2021,I212873,C296093,Female,39,Metrocity,Food & Beverage,3,15.69,Debit Card,47.07
31-05-2021,I212874,C283963,Male,39,Metrocity,Clothing,3,900.24,Cash,2700.7200000000003
11-02-2022,I212875,C332288,Female,30,Forum Istanbul,Toys,3,107.52,Cash,322.56
16-08-2022,I212888,C327170,Female,42,Cevahir AVM,Souvenir,4,46.92,Cash,187.68
23-07-2021,I212889,C278187,Female,25,Metrocity,Cosmetics,3,121.98,Cash,365.94
10-01-2021,I212893,C763161,Male,46,Viaport Outlet,Clothing,3,900.24,Cash,2700.7200000000003
02-07-2021,I212894,C244481,Male,30,Emaar Square Mall,Clothing,2,600.16,Cash,1200.32
19-03-2022,I212897,C271940,Male,69,Metropol AVM,Souvenir,5,58.65,Debit Card,293.25
07-02-2022,I212898,C203408,Female,24,Istinye Park,Clothing,1,300.08,Credit Card,300.08
09-05-2022,I212899,C565216,Male,18,Metropol AVM,Cosmetics,1,40.66,Credit Card,40.66
14-09-2022,I212902,C841354,Female,64,Forum Istanbul,Technology,2,2100.0,Credit Card,4200.0
06-03-2023,I212910,C190278,Male,55,Metropol AVM,Technology,2,2100.0,Cash,4200.0
20-01-2021,I212911,C307639,Male,66,Kanyon,Toys,2,71.68,Debit Card,143.36
11-06-2021,I212912,C296535,Male,56,Metrocity,Clothing,4,1200.32,Cash,4801.28
18-11-2022,I212922,C334396,Female,25,Mall of Istanbul,Clothing,1,300.08,Cash,300.08
15-03-2021,I212925,C121590,Male,57,Forum Istanbul,Technology,5,5250.0,Debit Card,26250.0
13-07-2021,I212929,C172486,Male,54,Viaport Outlet,Food & Beverage,5,26.15,Cash,130.75
03-04-2022,I212934,C711863,Male,60,Metrocity,Souvenir,5,58.65,Credit Card,293.25
28-08-2021,I212946,C127206,Male,25,Kanyon,Food & Beverage,4,20.92,Debit Card,83.68
04-08-2021,I212947,C763730,Female,59,Zorlu Center,Food & Beverage,1,5.23,Cash,5.23
25-11-2022,I212949,C137445,Female,23,Zorlu Center,Cosmetics,5,203.3,Credit Card,1016.5
18-02-2022,I212950,C334632,Female,52,Emaar Square Mall,Food & Beverage,3,15.69,Credit Card,47.07
24-10-2022,I212959,C145130,Male,41,Zorlu Center,Toys,5,179.2,Credit Card,896.0
03-06-2022,I212964,C270126,Male,30,Kanyon,Clothing,2,600.16,Cash,1200.32
04-02-2023,I212967,C240893,Female,52,Cevahir AVM,Toys,3,107.52,Cash,322.56
07-07-2022,I212969,C183459,Female,44,Metrocity,Clothing,4,1200.32,Cash,4801.28
07-01-2023,I212970,C114628,Female,22,Istinye Park,Clothing,5,1500.4,Credit Card,7502.0
04-05-2022,I212972,C318530,Female,39,Kanyon,Clothing,4,1200.32,Debit Card,4801.28
09-12-2021,I212977,C979417,Male,65,Viaport Outlet,Technology,3,3150.0,Cash,9450.0
18-12-2022,I212980,C278675,Male,35,Zorlu Center,Souvenir,4,46.92,Cash,187.68
06-01-2023,I212985,C230290,Female,69,Kanyon,Cosmetics,4,162.64,Cash,650.56
05-09-2022,I212986,C236757,Female,50,Emaar Square Mall,Cosmetics,4,162.64,Credit Card,650.56
23-07-2022,I212987,C343336,Male,33,Zorlu Center,Clothing,1,300.08,Credit Card,300.08
12-02-2023,I212988,C255092,Female,65,Istinye Park,Cosmetics,2,81.32,Credit Card,162.64
17-11-2021,I212989,C161268,Male,57,Mall of Istanbul,Toys,5,179.2,Credit Card,896.0
29-07-2022,I212995,C198064,Male,46,Viaport Outlet,Food & Beverage,5,26.15,Credit Card,130.75
03-01-2022,I212996,C175670,Female,64,Kanyon,Food & Beverage,3,15.69,Credit Card,47.07
14-02-2021,I213001,C558248,Female,29,Mall of Istanbul,Technology,5,5250.0,Cash,26250.0
15-04-2021,I213007,C314140,Female,57,Kanyon,Cosmetics,2,81.32,Cash,162.64
28-10-2021,I213008,C259236,Female,28,Forum Istanbul,Cosmetics,1,40.66,Debit Card,40.66
08-07-2021,I213010,C311933,Male,20,Viaport Outlet,Clothing,1,300.08,Cash,300.08
12-10-2022,I213015,C784238,Male,24,Viaport Outlet,Technology,1,1050.0,Credit Card,1050.0
30-12-2022,I213016,C635366,Male,49,Istinye Park,Food & Beverage,3,15.69,Credit Card,47.07
22-06-2021,I213017,C162641,Female,54,Zorlu Center,Cosmetics,3,121.98,Credit Card,365.94
07-02-2021,I213022,C208411,Male,24,Metrocity,Food & Beverage,3,15.69,Credit Card,47.07
27-10-2022,I213029,C722123,Male,36,Mall of Istanbul,Cosmetics,5,203.3,Debit Card,1016.5
06-06-2022,I213030,C633573,Male,18,Zorlu Center,Clothing,1,300.08,Credit Card,300.08
02-07-2021,I213032,C290553,Male,50,Metropol AVM,Cosmetics,5,203.3,Credit Card,1016.5
21-01-2021,I213034,C118872,Female,56,Mall of Istanbul,Cosmetics,5,203.3,Debit Card,1016.5
12-01-2022,I213035,C407210,Female,38,Metropol AVM,Food & Beverage,4,20.92,Credit Card,83.68
09-03-2022,I213036,C150383,Female,57,Forum Istanbul,Toys,1,35.84,Credit Card,35.84
02-01-2023,I213037,C187387,Male,68,Kanyon,Toys,3,107.52,Cash,322.56
21-03-2021,I213042,C238668,Female,43,Kanyon,Cosmetics,3,121.98,Credit Card,365.94
05-07-2022,I213043,C164926,Male,64,Kanyon,Souvenir,2,23.46,Credit Card,46.92
10-11-2022,I213044,C136340,Female,25,Istinye Park,Clothing,4,1200.32,Credit Card,4801.28
20-01-2021,I213045,C229387,Female,27,Kanyon,Souvenir,2,23.46,Credit Card,46.92
18-12-2022,I213046,C387055,Female,36,Kanyon,Clothing,3,900.24,Cash,2700.7200000000003
07-08-2022,I213056,C410209,Male,32,Mall of Istanbul,Souvenir,1,11.73,Credit Card,11.73
08-05-2022,I213059,C100587,Female,57,Kanyon,Toys,2,71.68,Debit Card,143.36
16-02-2023,I213062,C114861,Female,69,Metropol AVM,Clothing,1,300.08,Cash,300.08
04-03-2023,I213063,C261623,Female,62,Metrocity,Food & Beverage,5,26.15,Credit Card,130.75
08-05-2021,I213064,C467178,Female,36,Kanyon,Clothing,4,1200.32,Cash,4801.28
10-02-2023,I213069,C546912,Male,38,Emaar Square Mall,Clothing,3,900.24,Debit Card,2700.7200000000003
13-03-2022,I213072,C948625,Male,20,Metropol AVM,Toys,1,35.84,Cash,35.84
29-05-2021,I213088,C127286,Male,53,Mall of Istanbul,Technology,5,5250.0,Credit Card,26250.0
25-08-2022,I213101,C295734,Female,60,Mall of Istanbul,Food & Beverage,3,15.69,Credit Card,47.07
28-02-2023,I213103,C336599,Male,18,Cevahir AVM,Toys,3,107.52,Credit Card,322.56
14-04-2021,I213104,C133677,Male,20,Metropol AVM,Clothing,3,900.24,Debit Card,2700.7200000000003
10-03-2021,I213105,C314312,Female,57,Mall of Istanbul,Clothing,4,1200.32,Credit Card,4801.28
25-01-2021,I213110,C101856,Female,38,Istinye Park,Shoes,3,1800.51,Cash,5401.53
21-08-2021,I213111,C145807,Female,46,Zorlu Center,Books,2,30.3,Debit Card,60.6
03-10-2022,I213113,C183760,Female,64,Metrocity,Shoes,1,600.17,Credit Card,600.17
31-07-2022,I213116,C182704,Female,30,Mall of Istanbul,Clothing,1,300.08,Credit Card,300.08
04-07-2021,I213129,C322040,Male,33,Forum Istanbul,Food & Beverage,5,26.15,Cash,130.75
21-06-2022,I213131,C535677,Male,35,Istinye Park,Food & Beverage,1,5.23,Credit Card,5.23
14-10-2022,I213132,C214510,Male,46,Forum Istanbul,Clothing,1,300.08,Cash,300.08
28-08-2022,I213136,C104847,Female,67,Kanyon,Toys,1,35.84,Debit Card,35.84
10-03-2021,I213140,C155983,Female,34,Metrocity,Toys,4,143.36,Cash,573.44
